what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1645527930718
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1645527930718
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1645527930718
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1645527930720
started,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201101251503,"org.eclipse.linuxtools.cdt.autotools",1645527930721
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.core",1645527930721
started,bundle,com.telink.tc32eclipse.core,1.0.4.2,"com.telink.tc32eclipse.core",1645527930723
os,sysinfo,,,"win32",1645527930724
arch,sysinfo,,,"x86",1645527930724
ws,sysinfo,,,"win32",1645527930724
locale,sysinfo,,,"zh_CN",1645527930724
processors,sysinfo,,,"8",1645527930724
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1645527930724
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1645527930724
java.specification.name,sysinfo,,,"Java Platform API Specification",1645527930724
java.specification.vendor,sysinfo,,,"Oracle Corporation",1645527930724
java.specification.version,sysinfo,,,"1.8",1645527930724
java.vendor,sysinfo,,,"Oracle Corporation",1645527930724
java.version,sysinfo,,,"1.8.0_45",1645527930724
java.vm.info,sysinfo,,,"mixed mode",1645527930724
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1645527930724
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1645527930724
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1645527930724
java.vm.specification.version,sysinfo,,,"1.8",1645527930724
java.vm.vendor,sysinfo,,,"Oracle Corporation",1645527930724
java.vm.version,sysinfo,,,"25.45-b02",1645527930724
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645527931316
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1645527934456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645527935809
error,log,,,"Unable to create editor ID org.eclipse.cdt.ui.editor.CEditor: The file does not exist.",1645527937261
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645527937269
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645527937271
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645527937274
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1645527937281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645527937316
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1645527937325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1645527937325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645527939856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645527950789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1645527950798
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1645527950964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645527961770
