what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1644932284084
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1644932284084
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1644932284085
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1644932284087
started,bundle,org.eclipse.linuxtools.cdt.autotools,2.0.0.201101251503,"org.eclipse.linuxtools.cdt.autotools",1644932284089
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.1.201101251503,"org.eclipse.linuxtools.cdt.autotools.core",1644932284090
started,bundle,com.telink.tc32eclipse.core,1.0.4.2,"com.telink.tc32eclipse.core",1644932284090
os,sysinfo,,,"win32",1644932284092
arch,sysinfo,,,"x86",1644932284092
ws,sysinfo,,,"win32",1644932284092
locale,sysinfo,,,"zh_CN",1644932284092
processors,sysinfo,,,"8",1644932284092
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1644932284092
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1644932284092
java.specification.name,sysinfo,,,"Java Platform API Specification",1644932284092
java.specification.vendor,sysinfo,,,"Oracle Corporation",1644932284092
java.specification.version,sysinfo,,,"1.8",1644932284092
java.vendor,sysinfo,,,"Oracle Corporation",1644932284092
java.version,sysinfo,,,"1.8.0_45",1644932284092
java.vm.info,sysinfo,,,"mixed mode",1644932284092
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1644932284092
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1644932284092
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1644932284092
java.vm.specification.version,sysinfo,,,"1.8",1644932284092
java.vm.vendor,sysinfo,,,"Oracle Corporation",1644932284092
java.vm.version,sysinfo,,,"25.45-b02",1644932284092
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1644932284989
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1644932293094
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1644932293190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1644932297775
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1644932308782
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1644932309169
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1644932317016
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201101251503,"org.eclipse.linuxtools.cdt.libhover",1644932323294
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1644932327431
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1644932327675
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1644932327748
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1644932332316
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1644932338225
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1644932342918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932350506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932352321
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1644932352339
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1644932358309
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1644932382914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932387627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932393233
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1644932393253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932396658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932398838
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1644932398851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932404101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1644932415885
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1644932422684
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1644932434441
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1644932434704
