what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645531670267
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645531672494
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645531672692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531675839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531727596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531727616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531729394
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1645531731230
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645531731430
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645531734164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531736433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531750951
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1645531752242
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645531752449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531756652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531766568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531766587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531768198
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645531770473
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645531773487
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1645531776036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531780061
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531788393
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1645531788407
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1645531790433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1645531792405
